Date,Time,date_time,air_temp,relative_humidity,wind_speed
12/31/22,16:51,2022-12-31 16:51:00,57.92,100,10.36
12/31/22,17:51,2022-12-31 17:51:00,57.92,100,12.66
12/31/22,18:41,2022-12-31 18:41:00,57.92,100,11.51
12/31/22,18:51,2022-12-31 18:51:00,57.92,100,13.81
12/31/22,19:35,2022-12-31 19:35:00,57.2,100,12.66
12/31/22,19:44,2022-12-31 19:44:00,57.92,100,12.66
12/31/22,19:51,2022-12-31 19:51:00,57.92,100,13.81
12/31/22,20:05,2022-12-31 20:05:00,57.2,100,14.96
12/31/22,20:13,2022-12-31 20:13:00,57.92,100,11.51
12/31/22,20:51,2022-12-31 20:51:00,57.92,100,16.11
12/31/22,21:35,2022-12-31 21:35:00,57.2,100,14.96
12/31/22,21:51,2022-12-31 21:51:00,57.92,100,16.11
12/31/22,21:58,2022-12-31 21:58:00,57.92,100,13.81
12/31/22,22:05,2022-12-31 22:05:00,57.2,100,12.66
12/31/22,22:12,2022-12-31 22:12:00,57.92,100,9.21
12/31/22,22:20,2022-12-31 22:20:00,57.2,100,17.26
12/31/22,22:30,2022-12-31 22:30:00,57.2,100,18.41
12/31/22,22:41,2022-12-31 22:41:00,57.02,100,17.26
12/31/22,22:51,2022-12-31 22:51:00,57.02,100,20.71
12/31/22,23:07,2022-12-31 23:07:00,57.02,96.17,20.71
12/31/22,23:34,2022-12-31 23:34:00,55.04,93.03,25.32
12/31/22,23:51,2022-12-31 23:51:00,55.04,93.03,25.32
01/01/23,00:51,2023-01-01 00:51:00,55.04,89.41,20.71
01/01/23,01:51,2023-01-01 01:51:00,53.96,83.02,21.86
01/01/23,02:51,2023-01-01 02:51:00,55.04,77.17,17.26
01/01/23,03:51,2023-01-01 03:51:00,55.04,77.17,19.56
01/01/23,04:51,2023-01-01 04:51:00,55.04,79.81,23.02
01/01/23,05:51,2023-01-01 05:51:00,53.96,83.02,24.17
01/01/23,06:51,2023-01-01 06:51:00,53.96,83.02,25.32
01/01/23,07:51,2023-01-01 07:51:00,53.96,86.42,29.92
01/01/23,08:51,2023-01-01 08:51:00,55.94,74.69,25.32
01/01/23,09:51,2023-01-01 09:51:00,57.02,74.3,25.32
01/01/23,10:51,2023-01-01 10:51:00,57.92,71.93,28.77
01/01/23,11:51,2023-01-01 11:51:00,59,69.2,32.22
01/01/23,12:51,2023-01-01 12:51:00,60.08,66.59,24.17
01/01/23,13:51,2023-01-01 13:51:00,59,69.2,25.32
01/01/23,14:51,2023-01-01 14:51:00,57.92,74.88,27.62
01/01/23,15:51,2023-01-01 15:51:00,57.02,77.35,23.02
01/01/23,16:51,2023-01-01 16:51:00,55.94,77.25,26.47
01/01/23,17:51,2023-01-01 17:51:00,55.04,77.17,20.71
01/01/23,18:51,2023-01-01 18:51:00,55.04,77.17,18.41
01/01/23,19:51,2023-01-01 19:51:00,53.06,82.95,12.66
01/01/23,20:51,2023-01-01 20:51:00,53.06,79.65,16.11
01/01/23,21:51,2023-01-01 21:51:00,51.98,80.11,0
01/01/23,22:51,2023-01-01 22:51:00,50,79.95,3.45
01/01/23,23:51,2023-01-01 23:51:00,46.04,92.75,4.6
01/02/23,00:51,2023-01-02 00:51:00,46.04,88.99,5.75
01/02/23,01:51,2023-01-02 01:51:00,46.04,82.46,0
01/02/23,02:51,2023-01-02 02:51:00,44.96,82.38,6.91
01/02/23,03:51,2023-01-02 03:51:00,44.06,85.25,9.21
01/02/23,04:51,2023-01-02 04:51:00,44.96,79.54,3.45
01/02/23,05:51,2023-01-02 05:51:00,44.96,79.54,6.91
01/02/23,06:51,2023-01-02 06:51:00,44.06,82.31,4.6
01/02/23,07:51,2023-01-02 07:51:00,44.96,79.54,3.45
01/02/23,08:51,2023-01-02 08:51:00,50,68.16,8.06
01/02/23,09:51,2023-01-02 09:51:00,53.06,63.48,3.45
01/02/23,10:51,2023-01-02 10:51:00,53.96,61.43,0
01/02/23,11:51,2023-01-02 11:51:00,55.04,59.06,0
01/02/23,12:51,2023-01-02 12:51:00,55.04,63.74,3.45
01/02/23,13:51,2023-01-02 13:51:00,53.96,74.5,10.36
01/02/23,14:51,2023-01-02 14:51:00,55.04,71.62,9.21
01/02/23,15:51,2023-01-02 15:51:00,53.96,83.02,5.75
01/02/23,16:51,2023-01-02 16:51:00,53.06,92.97,0
01/02/23,17:51,2023-01-02 17:51:00,51.98,96.73,8.06
01/02/23,18:51,2023-01-02 18:51:00,51.08,96.07,6.91
01/02/23,19:51,2023-01-02 19:51:00,51.08,92.29,6.91
01/02/23,19:59,2023-01-02 19:59:00,51.08,87.48,9.21
01/02/23,20:06,2023-01-02 20:06:00,51.08,87.48,10.36
01/02/23,20:51,2023-01-02 20:51:00,50,96.06,8.06
01/02/23,21:51,2023-01-02 21:51:00,50,92.87,5.75
01/02/23,22:51,2023-01-02 22:51:00,50,92.87,10.36
01/02/23,23:51,2023-01-02 23:51:00,50,92.87,10.36
01/03/23,00:51,2023-01-03 00:51:00,48.92,96.69,8.06
01/03/23,01:51,2023-01-03 01:51:00,48.92,96.69,12.66
01/03/23,02:51,2023-01-03 02:51:00,48.92,96.69,9.21
01/03/23,03:51,2023-01-03 03:51:00,50,92.87,8.06
01/03/23,04:06,2023-01-03 04:06:00,50,93.5,9.21
01/03/23,04:51,2023-01-03 04:51:00,51.08,89.23,13.81
01/03/23,05:51,2023-01-03 05:51:00,51.08,89.23,12.66
01/03/23,06:02,2023-01-03 06:02:00,51.08,87.48,11.51
01/03/23,06:51,2023-01-03 06:51:00,51.08,89.23,11.51
01/03/23,07:51,2023-01-03 07:51:00,51.08,92.29,8.06
01/03/23,08:51,2023-01-03 08:51:00,53.06,89.32,12.66
01/03/23,09:51,2023-01-03 09:51:00,55.04,89.41,12.66
01/03/23,10:51,2023-01-03 10:51:00,57.02,83.23,11.51
01/03/23,11:51,2023-01-03 11:51:00,59,80.66,10.36
01/03/23,12:51,2023-01-03 12:51:00,60.08,77.61,11.51
